IMO Number,CO₂ emissions per distance [kg CO₂ / n mile],CO₂eq emissions per distance [kg CO₂eq / n mile]
9181106,459.89,466.93
9181120,276.81,281.11
9181132,262.86,266.99
9181144,226.87,230.4
9181156,254.61,258.61
9181168,247.17,251.06
9181170,248.94,252.83
9181376,291.88,296.45
9181493,219.25,222.7
9181558,338.64,343.93
9181651,582.29,591.39
9181663,525.86,534.1
9181675,494.78,502.58
9181728,146.74,149.02
9182289,296.97,301.63
9182485,Division by zero!,Division by zero!
9182796,205.22,208.45
9182954,284.32,288.77
9182978,274.21,278.47
9183788,438.86,445.61
9183790,209.8,213.03
9183843,303.56,308.28
9183855,444.5,451.37
9183984,286.97,291.41
9184029,296.85,301.44
9184419,707.22,718.36
9184536,234.99,238.59
9184653,125.7,127.64
9185047,218.54,222.33
9185396,658.81,669.18
9185451,275.82,280.15
9185463,311.28,316.16
9185815,Division by zero!,Division by zero!
9186182,357.18,362.74
9186194,357.27,362.83
9186211,262.02,266.1
9186223,301.47,306.21
9186235,277.51,281.87
9186302,328.25,333.4
9186326,475.44,482.91
9186338,619.96,629.72
9186352,193.17,196.13
9186405,319.61,324.59
9186417,215.09,218.46
9186429,271.72,276
9186479,Division by zero!,Division by zero!
9186649,294.29,298.91
9186687,482.07,489.5
9186780,204.3,207.48
9187033,224.52,228.02
9187057,153.4,155.75
9187318,308.45,313.3
9187409,215.63,218.93
9187887,540.34,548.72
9187899,507.86,515.65
9188037,659.01,669.24
9188219,300.09,304.8
9188221,276.08,280.37
9188233,307.21,311.94
9188245,264.84,268.97
9188427,466.38,473.7
9188506,180.36,183.12
9188518,299.62,304.31
9188817,Division by zero!,Division by zero!
9188867,435.15,441.81
9188881,451.17,458.08
9188908,Division by zero!,Division by zero!
9188922,150.83,153.17
9189251,351.8,357.28
9189421,1445.32,1467.5
9189677,174.04,176.77
9189873,Division by zero!,Division by zero!
9189897,225.41,228.93
9189902,242.87,246.68
9189940,259.87,263.96
9190119,265.99,270.16
9190157,223.87,227.52
9190731,557.47,566.25
9190743,570.55,579.54
9190755,607.78,617.35
9190767,612.49,622.14
9190779,558.34,567.14
9190781,554.92,563.67
9191307,301.04,305.85
9191474,236.82,240.54
9191498,Division by zero!,Division by zero!
9191577,136.52,138.63
9191876,344.19,349.59
9192129,251.31,255.17
9192167,449.03,455.91
9192179,502.42,510.11
9192375,237.7,241.4
9192399,1469.59,1492.29
9192478,364.6,370.35
9193240,520.71,528.92
9193264,531.77,540.18
9193290,564.88,573.74
9193305,562.93,571.77
9193525,206.25,209.41
9194000,359.14,364.78
9194397,Division by zero!,Division by zero!
9194440,139.16,141.32
9194452,149.42,151.74
9194464,160.66,163.16
9194476,256.2,260.2
9194880,Division by zero!,Division by zero!
9194921,175.24,177.96
9194957,241.9,245.69
9195133,145.71,147.94
9195145,141.81,143.98
9195157,1097.71,1114.52
9195169,1101.94,1118.91
9195298,320.22,325.22
9196163,155.71,158.09
9196242,137.9,140.02
9196395,189.74,192.68
9196709,290.56,295.11
9196711,340.44,345.76
9196814,399.56,405.91
9196838,637.98,648.02
9196840,799.04,811.63
9196864,680.78,691.49
9197002,251.46,255.41
9197105,749.96,761.77
9197117,144.53,146.8
9197179,Division by zero!,Division by zero!
9197284,346.3,351.73
9197296,355.95,361.52
9197363,298.86,303.57
9197375,289.42,293.98
9197466,254.82,258.82
9197478,313.07,318
9197521,182.73,185.57
9197533,348.93,354.43
9197662,Division by zero!,Division by zero!
9197882,183.94,186.79
9197911,287.14,291.65
9197935,Division by zero!,Division by zero!
9197947,291.65,296.24
9198123,403.39,409.69
9198135,402.16,408.46
9198367,1254.14,1273.68
9198381,308.11,312.94
9198563,360.64,366.28
9198587,903.24,917.37
9198719,291.11,295.69
9198721,320.97,326.01
9198927,768.56,780.61
9198939,600.99,610.43
9198977,279.4,283.78
9198989,235.48,239.18
9199311,104.52,106.16
9199323,117.95,119.77
9199842,194.42,197.45
9200225,264.75,268.8
9200330,223.39,226.87
9200354,260.29,264.36
9200419,198.85,201.94
9200421,249.82,253.72
9200574,153.67,156.06
9200691,731.81,743.26
